ags5,ags8,ags11,beschaeftigte_ot,ot_besch_ao,kr_be_ao_ges,gem_be_ao_ges,ot_besch_ags5_python
01055,01055001,01055001001,1051.0,869.0,64509,1402.0,64606.0
01055,01055001,01055001002,33.0,46.0,64509,1402.0,64606.0
01055,01055001,01055001003,16.0,28.0,64509,1402.0,64606.0
01055,01055001,01055001004,30.0,43.0,64509,1402.0,64606.0
01055,01055001,01055001005,83.0,37.0,64509,1402.0,64606.0
01055,01055001,01055001006,22.0,23.0,64509,1402.0,64606.0
01055,01055001,01055001007,68.0,40.0,64509,1402.0,64606.0
01055,01055001,01055001008,48.0,76.0,64509,1402.0,64606.0
01055,01055001,01055001009,7.0,5.0,64509,1402.0,64606.0
01055,01055001,01055001010,11.0,14.0,64509,1402.0,64606.0
01055,01055001,01055001011,15.0,16.0,64509,1402.0,64606.0
01055,01055001,01055001012,17.0,16.0,64509,1402.0,64606.0
01055,01055001,01055001013,51.0,42.0,64509,1402.0,64606.0
01055,01055001,01055001015,6.0,5.0,64509,1402.0,64606.0
01055,01055001,01055001016,13.0,15.0,64509,1402.0,64606.0
01055,01055001,01055001017,25.0,13.0,64509,1402.0,64606.0
01055,01055001,01055001018,80.0,43.0,64509,1402.0,64606.0
01055,01055001,01055001019,65.0,46.0,64509,1402.0,64606.0
01055,01055001,01055001020,20.0,13.0,64509,1402.0,64606.0
01055,01055001,01055001021,6.0,5.0,64509,1402.0,64606.0
01055,01055001,01055001022,10.0,9.0,64509,1402.0,64606.0
01055,01055002,01055002001,52.0,24.0,64509,90.0,64606.0
01055,01055002,01055002002,6.0,22.0,64509,90.0,64606.0
01055,01055002,01055002003,3.0,5.0,64509,90.0,64606.0
01055,01055002,01055002005,22.0,13.0,64509,90.0,64606.0
01055,01055002,01055002006,1.0,1.0,64509,90.0,64606.0
01055,01055002,01055002007,37.0,17.0,64509,90.0,64606.0
01055,01055002,01055002008,26.0,12.0,64509,90.0,64606.0
01055,01055002,01055002009,4.0,3.0,64509,90.0,64606.0
01055,01055004,01055004001,1035.0,979.0,64509,5900.0,64606.0
01055,01055004,01055004002,60.0,74.0,64509,5900.0,64606.0
01055,01055004,01055004003,1516.0,1407.0,64509,5900.0,64606.0
01055,01055004,01055004004,3166.0,3441.0,64509,5900.0,64606.0
01055,01055006,01055006001,41.0,18.0,64509,,64606.0
01055,01055006,01055006002,13.0,4.0,64509,,64606.0
01055,01055007,01055007002,72.0,100.0,64509,333.0,64606.0
01055,01055007,01055007003,23.0,23.0,64509,333.0,64606.0
01055,01055007,01055007004,29.0,20.0,64509,333.0,64606.0
01055,01055007,01055007005,29.0,21.0,64509,333.0,64606.0
01055,01055007,01055007006,95.0,92.0,64509,333.0,64606.0
01055,01055007,01055007007,5.0,4.0,64509,333.0,64606.0
01055,01055007,01055007008,3.0,3.0,64509,333.0,64606.0
01055,01055007,01055007009,11.0,10.0,64509,333.0,64606.0
01055,01055007,01055007010,19.0,11.0,64509,333.0,64606.0
01055,01055007,01055007011,9.0,7.0,64509,333.0,64606.0
01055,01055007,01055007012,13.0,12.0,64509,333.0,64606.0
01055,01055007,01055007013,24.0,12.0,64509,333.0,64606.0
01055,01055007,01055007015,20.0,16.0,64509,333.0,64606.0
01055,01055007,01055007016,14.0,10.0,64509,333.0,64606.0
01055,01055010,01055010001,510.0,429.0,64509,429.0,64606.0
01055,01055011,01055011001,8.0,8.0,64509,,64606.0
01055,01055012,01055012001,7866.0,7392.0,64509,8226.0,64606.0
01055,01055012,01055012002,116.0,256.0,64509,8226.0,64606.0
01055,01055012,01055012003,243.0,492.0,64509,8226.0,64606.0
01055,01055012,01055012004,11.0,23.0,64509,8226.0,64606.0
01055,01055012,01055012005,19.0,62.0,64509,8226.0,64606.0
01055,01055014,01055014002,2.0,2.0,64509,105.0,64606.0
01055,01055014,01055014003,6.0,10.0,64509,105.0,64606.0
01055,01055014,01055014007,88.0,77.0,64509,105.0,64606.0
01055,01055014,01055014008,4.0,5.0,64509,105.0,64606.0
01055,01055014,01055014010,1.0,1.0,64509,105.0,64606.0
01055,01055014,01055014011,2.0,8.0,64509,105.0,64606.0
01055,01055014,01055014012,8.0,8.0,64509,105.0,64606.0
01055,01055015,01055015001,18.0,15.0,64509,166.0,64606.0
01055,01055015,01055015002,2.0,3.0,64509,166.0,64606.0
01055,01055015,01055015004,3.0,2.0,64509,166.0,64606.0
01055,01055015,01055015005,4.0,3.0,64509,166.0,64606.0
01055,01055015,01055015006,54.0,44.0,64509,166.0,64606.0
01055,01055015,01055015007,30.0,38.0,64509,166.0,64606.0
01055,01055015,01055015008,19.0,15.0,64509,166.0,64606.0
01055,01055015,01055015009,1.0,1.0,64509,166.0,64606.0
01055,01055015,01055015010,9.0,6.0,64509,166.0,64606.0
01055,01055015,01055015011,6.0,5.0,64509,166.0,64606.0
01055,01055015,01055015012,27.0,17.0,64509,166.0,64606.0
01055,01055015,01055015013,9.0,6.0,64509,166.0,64606.0
01055,01055015,01055015014,3.0,2.0,64509,166.0,64606.0
01055,01055015,01055015015,7.0,5.0,64509,166.0,64606.0
01055,01055015,01055015016,8.0,7.0,64509,166.0,64606.0
01055,01055015,01055015017,2.0,5.0,64509,166.0,64606.0
01055,01055015,01055015018,2.0,5.0,64509,166.0,64606.0
01055,01055015,01055015019,1.0,1.0,64509,166.0,64606.0
01055,01055016,01055016001,24.0,34.0,64509,2678.0,64606.0
01055,01055016,01055016002,1.0,1.0,64509,2678.0,64606.0
01055,01055016,01055016003,95.0,128.0,64509,2678.0,64606.0
01055,01055016,01055016004,28.0,30.0,64509,2678.0,64606.0
01055,01055016,01055016005,1347.0,2064.0,64509,2678.0,64606.0
01055,01055016,01055016006,102.0,100.0,64509,2678.0,64606.0
01055,01055016,01055016007,16.0,16.0,64509,2678.0,64606.0
01055,01055016,01055016009,1.0,9.0,64509,2678.0,64606.0
01055,01055016,01055016010,1.0,1.0,64509,2678.0,64606.0
01055,01055016,01055016011,3.0,8.0,64509,2678.0,64606.0
01055,01055016,01055016013,132.0,119.0,64509,2678.0,64606.0
01055,01055016,01055016014,1.0,3.0,64509,2678.0,64606.0
01055,01055016,01055016015,92.0,122.0,64509,2678.0,64606.0
01055,01055016,01055016016,13.0,16.0,64509,2678.0,64606.0
01055,01055016,01055016018,7.0,11.0,64509,2678.0,64606.0
01055,01055016,01055016019,4.0,6.0,64509,2678.0,64606.0
01055,01055016,01055016020,3.0,4.0,64509,2678.0,64606.0
01055,01055016,01055016021,6.0,8.0,64509,2678.0,64606.0
01055,01055017,01055017002,780.0,701.0,64509,733.0,64606.0
01055,01055017,01055017003,2.0,7.0,64509,733.0,64606.0
01055,01055017,01055017004,1.0,1.0,64509,733.0,64606.0
01055,01055017,01055017005,14.0,15.0,64509,733.0,64606.0
01055,01055017,01055017006,3.0,7.0,64509,733.0,64606.0
01055,01055017,01055017007,1.0,1.0,64509,733.0,64606.0
01055,01055017,01055017008,4.0,4.0,64509,733.0,64606.0
01055,01055018,01055018001,411.0,438.0,64509,498.0,64606.0
01055,01055018,01055018002,93.0,59.0,64509,498.0,64606.0
01055,01055018,01055018003,3.0,3.0,64509,498.0,64606.0
01055,01055020,01055020001,3.0,2.0,64509,110.0,64606.0
01055,01055020,01055020002,48.0,38.0,64509,110.0,64606.0
01055,01055020,01055020003,72.0,61.0,64509,110.0,64606.0
01055,01055020,01055020004,3.0,7.0,64509,110.0,64606.0
01055,01055020,01055020005,1.0,1.0,64509,110.0,64606.0
01055,01055020,01055020006,12.0,21.0,64509,110.0,64606.0
01055,01055021,01055021002,1954.0,2358.0,64509,2450.0,64606.0
01055,01055021,01055021003,18.0,45.0,64509,2450.0,64606.0
01055,01055021,01055021004,12.0,47.0,64509,2450.0,64606.0
01055,01055022,01055022001,5.0,5.0,64509,132.0,64606.0
01055,01055022,01055022002,26.0,18.0,64509,132.0,64606.0
01055,01055022,01055022003,7.0,7.0,64509,132.0,64606.0
01055,01055022,01055022004,50.0,44.0,64509,132.0,64606.0
01055,01055022,01055022005,1.0,1.0,64509,132.0,64606.0
01055,01055022,01055022006,2.0,5.0,64509,132.0,64606.0
01055,01055022,01055022007,23.0,11.0,64509,132.0,64606.0
01055,01055022,01055022008,4.0,3.0,64509,132.0,64606.0
01055,01055022,01055022010,35.0,39.0,64509,132.0,64606.0
01055,01055023,01055023001,7.0,8.0,64509,29.0,64606.0
01055,01055023,01055023002,8.0,11.0,64509,29.0,64606.0
01055,01055023,01055023003,7.0,10.0,64509,29.0,64606.0
01055,01055024,01055024001,4.0,10.0,64509,178.0,64606.0
01055,01055024,01055024002,10.0,8.0,64509,178.0,64606.0
01055,01055024,01055024003,48.0,68.0,64509,178.0,64606.0
01055,01055024,01055024004,7.0,7.0,64509,178.0,64606.0
01055,01055024,01055024005,151.0,64.0,64509,178.0,64606.0
01055,01055024,01055024006,4.0,24.0,64509,178.0,64606.0
01055,01055025,01055025002,219.0,328.0,64509,328.0,64606.0
01055,01055027,01055027001,3.0,7.0,64509,1873.0,64606.0
01055,01055027,01055027002,1050.0,1791.0,64509,1873.0,64606.0
01055,01055027,01055027003,4.0,7.0,64509,1873.0,64606.0
01055,01055027,01055027004,32.0,58.0,64509,1873.0,64606.0
01055,01055027,01055027005,10.0,13.0,64509,1873.0,64606.0
01055,01055028,01055028001,1741.0,2110.0,64509,2830.0,64606.0
01055,01055028,01055028002,25.0,40.0,64509,2830.0,64606.0
01055,01055028,01055028003,428.0,305.0,64509,2830.0,64606.0
01055,01055028,01055028004,29.0,48.0,64509,2830.0,64606.0
01055,01055028,01055028005,3.0,24.0,64509,2830.0,64606.0
01055,01055028,01055028006,10.0,37.0,64509,2830.0,64606.0
01055,01055028,01055028007,13.0,39.0,64509,2830.0,64606.0
01055,01055028,01055028008,60.0,85.0,64509,2830.0,64606.0
01055,01055028,01055028009,4.0,12.0,64509,2830.0,64606.0
01055,01055028,01055028010,67.0,49.0,64509,2830.0,64606.0
01055,01055028,01055028011,9.0,15.0,64509,2830.0,64606.0
01055,01055028,01055028012,22.0,66.0,64509,2830.0,64606.0
01055,01055029,01055029001,9.0,4.0,64509,25.0,64606.0
01055,01055029,01055029002,8.0,10.0,64509,25.0,64606.0
01055,01055029,01055029003,18.0,10.0,64509,25.0,64606.0
01055,01055029,01055029004,2.0,1.0,64509,25.0,64606.0
01055,01055031,01055031001,3.0,4.0,64509,93.0,64606.0
01055,01055031,01055031002,3.0,4.0,64509,93.0,64606.0
01055,01055031,01055031004,5.0,7.0,64509,93.0,64606.0
01055,01055031,01055031005,1.0,1.0,64509,93.0,64606.0
01055,01055031,01055031006,1.0,1.0,64509,93.0,64606.0
01055,01055031,01055031007,1.0,1.0,64509,93.0,64606.0
01055,01055031,01055031009,29.0,52.0,64509,93.0,64606.0
01055,01055031,01055031010,4.0,6.0,64509,93.0,64606.0
01055,01055031,01055031011,2.0,11.0,64509,93.0,64606.0
01055,01055031,01055031012,1.0,1.0,64509,93.0,64606.0
01055,01055031,01055031014,1.0,1.0,64509,93.0,64606.0
01055,01055031,01055031016,1.0,2.0,64509,93.0,64606.0
01055,01055031,01055031017,14.0,19.0,64509,93.0,64606.0
01055,01055031,01055031018,1.0,1.0,64509,93.0,64606.0
01055,01055032,01055032001,7034.0,7492.0,64509,8729.0,64606.0
01055,01055032,01055032003,1117.0,1045.0,64509,8729.0,64606.0
01055,01055032,01055032004,44.0,192.0,64509,8729.0,64606.0
01055,01055033,01055033001,23.0,33.0,64509,4412.0,64606.0
01055,01055033,01055033002,2.0,3.0,64509,4412.0,64606.0
01055,01055033,01055033005,50.0,55.0,64509,4412.0,64606.0
01055,01055033,01055033006,34.0,36.0,64509,4412.0,64606.0
01055,01055033,01055033007,40.0,44.0,64509,4412.0,64606.0
01055,01055033,01055033008,54.0,110.0,64509,4412.0,64606.0
01055,01055033,01055033009,3088.0,4132.0,64509,4412.0,64606.0
01055,01055035,01055035001,29.0,54.0,64509,2691.0,64606.0
